hit_id,query_id,biosample_id,closest_ref,distance,SRM_present
OYVD01.1117.1_2/1-80,OYVD01,SAMN06165452,"['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA,True
UEPQ01.62.1_13/64-437,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
UEPQ01.62.1_14/11-266,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
OQDE01.41009.1_2/1-77,OQDE01,SAMD00036307,"['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,True
OWXA01.5389.1_2/11-266,OWXA01,SAMN05827029,['QUERY___Ley3_66761_scaffold_1830_dsrB'],0.057488,True
OWXA01.5389.1_1/97-239,OWXA01,SAMN05827029,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.07352705456638922,True
OYPH01.2748.1_1/63-178,OYPH01,SAMN06165653,"['Desulfovibrio_sp._3_1_syn3__DsvSp230', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'Desulfovibrio_sp._6_1_46AFAA__DsvSp231']",NA,True
UPFD01.8591.1_2/63-436,UPFD01,SAMEA2737666,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.012267,True
UPFD01.8591.1_3/11-266,UPFD01,SAMEA2737666,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.055947000000000004,True
UPMZ01.5950.1_5/51-395,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae_7-10-1-b__FP929047'],0.007593352748093658,True
UPMZ01.5950.1_6/3-237,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae__GrdPame5'],0.0033742607019146614,True
UPMZ01.79208.1_1/11-136,UPMZ01,SAMEA2737808,"['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,True
UPMZ01.44144.1_1/64-137,UPMZ01,SAMEA2737808,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,True
ORSC01.82376.1_1/1-172,ORSC01,SAMEA2338681,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],NA,True
OYMM01.161.1_3/65-438,OYMM01,SAMN06165493,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.012202,True
OYMM01.161.1_2/11-266,OYMM01,SAMN06165493,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.05405905456638922,True
OYMM01.4356.1_1/53-210,OYMM01,SAMN06165493,"['Bilophila_wadsworthia__BilWads6', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,True
OYMM01.4732.1_1/11-160,OYMM01,SAMN06165493,"['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,True
UEYD01.35306.1_1/33-281,UEYD01,SAMN06115506,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",NA,True
OPSF01.12557.1_1/64-428,OPSF01,SAMEA2042111,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.05874505456638922,True
QWCE01.3417.1_7/64-437,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
QWCE01.34300.1_2/44-392,QWCE01,SAMN09866716,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.2876309842397784,True
QWCE01.3417.1_6/11-266,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
QWCE01.148739.1_1/3-193,QWCE01,SAMN09866716,['Gordonibacter_pamelaeae__GrdPame5'],0.2772393767151715,True
QWCE01.143185.1_1/1-188,QWCE01,SAMN09866716,['Gordonibacter_pamelaeae__GrdPame5'],0.3797953767151715,True
QWCE01.34300.1_3/4-136,QWCE01,SAMN09866716,['QUERY___Thermodesulfobium_narugense_dsrA'],1.3837139999999999,True
OWCY01.6912.1_3/63-436,OWCY01,SAMEA3708620,['Desulfovibrio_piger__DslPige2'],0.021585189917109046,True
OWCY01.6912.1_2/11-266,OWCY01,SAMEA3708620,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.027780000000000003,True
OWCY01.44532.1_1/11-266,OWCY01,SAMEA3708620,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
ORRJ01.13417.1_2/63-436,ORRJ01,SAMEA2338649,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.02452,True
ORRJ01.22585.1_1/1-245,ORRJ01,SAMEA2338649,"['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.033423,True
UERO01.20183.1_1/64-437,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
UERO01.11922.1_1/1-118,UERO01,SAMN06115397,"['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.022917,True
UERO01.20183.1_2/11-91,UERO01,SAMN06115397,"['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.185887,True
OPAP01.30399.1_1/1-90,OPAP01,SAMEA1967055,"['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'QUERY___Ley3_66761_scaffold_1025_dsrA']",NA,True
OURY01.49778.1_1/1-252,OURY01,SAMEA2338638,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.1658489842397786,True
OYXC01.9658.1_1/11-266,OYXC01,SAMN06165016,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.037144,True
OYXC01.9658.1_2/1-228,OYXC01,SAMN06165016,['QUERY___Ley3_66761_scaffold_1025_dsrA'],NA,True
USZA01.13236.1_3/38-305,USZA01,SAMN06112073,"['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.047753000000000004,True
USZA01.18536.1_1/63-204,USZA01,SAMN06112073,"['QUERY___Ley3_66761_scaffold_1025_dsrA', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",NA,True
USZA01.41154.1_2/6-173,USZA01,SAMN06112073,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.1885397964857785,True
USZA01.16685.1_1/1-148,USZA01,SAMN06112073,['QUERY___Ley3_66761_scaffold_1025_dsrA'],NA,True
USZA01.41154.1_1/3-156,USZA01,SAMN06112073,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],NA,True
USZA01.130730.1_2/1-109,USZA01,SAMN06112073,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.0482329842397786,True
UZLQ01.611.1_10/64-437,UZLQ01,SAMN00715227,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
UZLQ01.611.1_9/1-253,UZLQ01,SAMN00715227,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
UPRH01.19723.1_1/11-266,UPRH01,SAMEA2737760,['Bilophila_wadsworthia__BilWads6'],1.43512333119087e-06,True
UPMW01.3186.1_8/63-436,UPMW01,SAMEA2737879,['uncultured_bacterium__EF645667'],0.0856336056413982,True
UPMW01.3186.1_7/11-266,UPMW01,SAMEA2737879,['uncultured_bacterium__EF645667'],0.1434117223111753,True
OYQB01.459.1_1/46-393,OYQB01,SAMN06165467,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.1170079842397787,True
OYQB01.459.1_2/7-240,OYQB01,SAMN06165467,['Desulfitibacter_alkalitolerans__DfiAlka2'],0.9083087964857784,True
OYQB01.5101.1_1/1-213,OYQB01,SAMN06165467,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",NA,True
CAAELL01.26.1_14/62-435,CAAELL01,SAMEA5280031,['QUERY___Ley3_66761_scaffold_1830_dsrB'],0.380668,True
CAAELL01.26.1_13/11-266,CAAELL01,SAMEA5280031,['QUERY___Ley3_66761_scaffold_1830_dsrB'],0.494987,True
UPMM01.15656.1_2/63-436,UPMM01,SAMEA2737839,['QUERY___Ley3_66761_scaffold_1025_dsrA'],0.06397405456638922,True
UPMM01.15656.1_1/11-112,UPMM01,SAMEA2737839,"['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB']",0.02749,True
ORIF01.8853.1_1/63-390,ORIF01,SAMN04329858,['QUERY___Ley3_66761_scaffold_1025_dsrA'],NA,True
ORIF01.8035.1_2/50-394,ORIF01,SAMN04329858,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.1312639842397785,True
ORIF01.7405.1_1/8-243,ORIF01,SAMN04329858,['Desulfitibacter_alkalitolerans__DfiAlka2'],0.9548167964857784,True
